Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,04/01/2017,2017,01,04,23,14.8
NO,ug m-3,05/01/2017,2017,01,05,0,10.4
NO,ug m-3,05/01/2017,2017,01,05,1,6.5
NO,ug m-3,05/01/2017,2017,01,05,2,9.7
NO,ug m-3,05/01/2017,2017,01,05,3,6.4
NO,ug m-3,05/01/2017,2017,01,05,4,10.4
NO,ug m-3,05/01/2017,2017,01,05,5,13.2
NO,ug m-3,05/01/2017,2017,01,05,6,22.5
NO,ug m-3,05/01/2017,2017,01,05,7,39.6
NO,ug m-3,05/01/2017,2017,01,05,8,34.2
NO,ug m-3,05/01/2017,2017,01,05,9,55.0
NO,ug m-3,05/01/2017,2017,01,05,10,49.0
NO,ug m-3,05/01/2017,2017,01,05,11,52.9
NO,ug m-3,05/01/2017,2017,01,05,12,77.8
NO,ug m-3,05/01/2017,2017,01,05,13,133.5
NO,ug m-3,05/01/2017,2017,01,05,14,44.4
NO,ug m-3,05/01/2017,2017,01,05,15,31.7
NO,ug m-3,05/01/2017,2017,01,05,16,51.6
NO,ug m-3,05/01/2017,2017,01,05,17,76.3
NO,ug m-3,05/01/2017,2017,01,05,18,115.6
NO,ug m-3,05/01/2017,2017,01,05,19,149.5
NO,ug m-3,05/01/2017,2017,01,05,20,215.2
NO,ug m-3,05/01/2017,2017,01,05,21,169.10001
NO,ug m-3,05/01/2017,2017,01,05,22,142.5
NO,ug m-3,05/01/2017,2017,01,05,23,115.7
NO,ug m-3,06/01/2017,2017,01,06,0,177.7
NO,ug m-3,06/01/2017,2017,01,06,1,191.7
NO,ug m-3,06/01/2017,2017,01,06,2,113.0
NO,ug m-3,06/01/2017,2017,01,06,3,110.7
NO,ug m-3,06/01/2017,2017,01,06,4,154.5
NO,ug m-3,06/01/2017,2017,01,06,5,131.89999
NO,ug m-3,06/01/2017,2017,01,06,6,82.3
NO,ug m-3,06/01/2017,2017,01,06,7,58.6
NO,ug m-3,06/01/2017,2017,01,06,8,54.3
NO,ug m-3,06/01/2017,2017,01,06,9,42.9
NO,ug m-3,06/01/2017,2017,01,06,10,
NO,ug m-3,06/01/2017,2017,01,06,11,
NO,ug m-3,06/01/2017,2017,01,06,12,23.2
NO,ug m-3,06/01/2017,2017,01,06,13,18.6
NO,ug m-3,06/01/2017,2017,01,06,14,12.6
NO,ug m-3,06/01/2017,2017,01,06,15,12.8
NO,ug m-3,06/01/2017,2017,01,06,16,11.7
