Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,04/01/2017,2017,1,4,12,,WED
NO,ug m-3,04/01/2017,2017,1,4,13,5.15,WED
NO,ug m-3,04/01/2017,2017,1,4,14,4.35,WED
NO,ug m-3,04/01/2017,2017,1,4,15,4.05,WED
NO,ug m-3,04/01/2017,2017,1,4,16,4.85,WED
NO,ug m-3,04/01/2017,2017,1,4,17,7.0,WED
NO,ug m-3,04/01/2017,2017,1,4,18,8.55,WED
NO,ug m-3,04/01/2017,2017,1,4,19,9.2,WED
NO,ug m-3,04/01/2017,2017,1,4,20,54.599999999999994,WED
NO,ug m-3,04/01/2017,2017,1,4,21,49.5,WED
NO,ug m-3,04/01/2017,2017,1,4,22,49.199999999999996,WED
NO,ug m-3,04/01/2017,2017,1,4,23,44.400000000000006,WED
NO,ug m-3,05/01/2017,2017,1,5,0,5.2,THU
NO,ug m-3,05/01/2017,2017,1,5,1,3.25,THU
NO,ug m-3,05/01/2017,2017,1,5,2,4.85,THU
NO,ug m-3,05/01/2017,2017,1,5,3,3.2,THU
NO,ug m-3,05/01/2017,2017,1,5,4,5.2,THU
NO,ug m-3,05/01/2017,2017,1,5,5,6.6,THU
NO,ug m-3,05/01/2017,2017,1,5,6,11.25,THU
NO,ug m-3,05/01/2017,2017,1,5,7,19.8,THU
NO,ug m-3,05/01/2017,2017,1,5,8,17.1,THU
NO,ug m-3,05/01/2017,2017,1,5,9,27.5,THU
NO,ug m-3,05/01/2017,2017,1,5,10,24.5,THU
NO,ug m-3,05/01/2017,2017,1,5,11,26.45,THU
NO,ug m-3,05/01/2017,2017,1,5,12,38.9,THU
NO,ug m-3,05/01/2017,2017,1,5,13,66.75,THU
NO,ug m-3,05/01/2017,2017,1,5,14,22.2,THU
NO,ug m-3,05/01/2017,2017,1,5,15,15.85,THU
NO,ug m-3,05/01/2017,2017,1,5,16,25.8,THU
NO,ug m-3,05/01/2017,2017,1,5,17,38.15,THU
NO,ug m-3,05/01/2017,2017,1,5,18,57.8,THU
NO,ug m-3,05/01/2017,2017,1,5,19,74.75,THU
NO,ug m-3,05/01/2017,2017,1,5,20,645.5999999999999,THU
NO,ug m-3,05/01/2017,2017,1,5,21,507.30003,THU
NO,ug m-3,05/01/2017,2017,1,5,22,427.5,THU
NO,ug m-3,05/01/2017,2017,1,5,23,347.1,THU
NO,ug m-3,06/01/2017,2017,1,6,0,88.85,FRI
NO,ug m-3,06/01/2017,2017,1,6,1,95.85,FRI
NO,ug m-3,06/01/2017,2017,1,6,2,56.5,FRI
NO,ug m-3,06/01/2017,2017,1,6,3,55.35,FRI
NO,ug m-3,06/01/2017,2017,1,6,4,77.25,FRI
NO,ug m-3,06/01/2017,2017,1,6,5,65.949995,FRI
NO,ug m-3,06/01/2017,2017,1,6,6,41.15,FRI
NO,ug m-3,06/01/2017,2017,1,6,7,29.3,FRI
NO,ug m-3,06/01/2017,2017,1,6,8,27.15,FRI
NO,ug m-3,06/01/2017,2017,1,6,9,21.45,FRI
NO,ug m-3,06/01/2017,2017,1,6,10,,FRI
NO,ug m-3,06/01/2017,2017,1,6,11,,FRI
NO,ug m-3,06/01/2017,2017,1,6,12,11.6,FRI
NO,ug m-3,06/01/2017,2017,1,6,13,9.3,FRI
NO,ug m-3,06/01/2017,2017,1,6,14,6.3,FRI
NO,ug m-3,06/01/2017,2017,1,6,15,6.4,FRI
NO,ug m-3,06/01/2017,2017,1,6,16,5.85,FRI
NO,ug m-3,06/01/2017,2017,1,6,17,8.5,FRI
NO,ug m-3,06/01/2017,2017,1,6,18,4.3,FRI
NO,ug m-3,06/01/2017,2017,1,6,19,2.85,FRI
NO,ug m-3,06/01/2017,2017,1,6,20,10.8,FRI
NO,ug m-3,06/01/2017,2017,1,6,21,10.2,FRI
NO,ug m-3,06/01/2017,2017,1,6,22,6.8999999999999995,FRI
NO,ug m-3,06/01/2017,2017,1,6,23,6.6000000000000005,FRI
NO,ug m-3,07/01/2017,2017,1,7,0,0.6,SAT
NO,ug m-3,07/01/2017,2017,1,7,1,0.6,SAT
NO,ug m-3,07/01/2017,2017,1,7,2,0.4,SAT
NO,ug m-3,07/01/2017,2017,1,7,3,0.6,SAT
NO,ug m-3,07/01/2017,2017,1,7,4,1.0,SAT
NO,ug m-3,07/01/2017,2017,1,7,5,1.7,SAT
NO,ug m-3,07/01/2017,2017,1,7,6,5.65,SAT
NO,ug m-3,07/01/2017,2017,1,7,7,13.55,SAT
NO,ug m-3,07/01/2017,2017,1,7,8,16.85,SAT
NO,ug m-3,07/01/2017,2017,1,7,9,27.0,SAT
NO,ug m-3,07/01/2017,2017,1,7,10,22.25,SAT
NO,ug m-3,07/01/2017,2017,1,7,11,22.55,SAT
NO,ug m-3,07/01/2017,2017,1,7,12,20.85,SAT
NO,ug m-3,07/01/2017,2017,1,7,13,10.65,SAT
NO,ug m-3,07/01/2017,2017,1,7,14,11.3,SAT
NO,ug m-3,07/01/2017,2017,1,7,15,14.35,SAT
NO,ug m-3,07/01/2017,2017,1,7,16,12.35,SAT
NO,ug m-3,07/01/2017,2017,1,7,17,17.25,SAT
NO,ug m-3,07/01/2017,2017,1,7,18,16.25,SAT
